Date,Month,FileOrigin,Description,Amount,Currency,Category
24/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,6.00,GBP,Transportation
24/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,3.70,GBP,Transportation
24/09/2024,2024-09,Monzo Joint September,TfL Unpaid Fares TFL.gov.uk/CP,0.10,GBP,Transportation
24/09/2024,2024-09,Monzo Joint September,PPOINT_*CU CONVENIENCE London,7.87,GBP,Shopping
25/09/2024,2024-09,Monzo Joint September,EE TOPUP VESTA EE.CO.UK,10.00,GBP,Subscriptions
25/09/2024,2024-09,Monzo Joint September,PAYROLL,1766.91,GBP,Income
25/09/2024,2024-09,Monzo Joint September,APPLE.COM/BILL APPLE.COM/BIL IRL,9.99,GBP,Subscriptions
25/09/2024,2024-09,Monzo Joint September,MARKS&SPENCER PLC SF CHANCERY LANE,4.10,GBP,Groceries
25/09/2024,2024-09,Monzo Joint September,Nicholas Antoniade,600.00,GBP,Pay Nicholas
26/09/2024,2024-09,Monzo Joint September,TfL Travel Charge TFL.gov.uk/CP,3.70,GBP,Transportation
26/09/2024,2024-09,Monzo Joint September,Nicholas Antoniades,161.04,GBP,Pay Nicholas
26/09/2024,2024-09,Monzo Joint September,PB586274092270687,781.86,GBP,Credit card
26/09/2024,2024-09,Monzo Joint September,PWBT1727339470341,65.89,GBP,Utilities
26/09/2024,2024-09,Monzo Joint September,Zettle_*TURNING EARTH LONDON,15.00,GBP,Shopping
27/09/2024,2024-09,Monzo Joint September,Payroll Sep 2024,3854.32,GBP,Income
27/09/2024,2024-09,Monzo Joint September,MARKS&SPENCER PLC SF CHANCERY LANE,5.35,GBP,Groceries
27/09/2024,2024-09,Monzo Joint September,Monthly Money Pot,3500.00,GBP,Nothing
27/09/2024,2024-09,Monzo Joint September,Monthly Money Pot,2100.00,GBP,Nothing
27/09/2024,2024-09,Monzo Joint September,1 Montenotte Rent,2100.00,GBP,Rent
27/09/2024,2024-09,Monzo Joint September,FOTO PLUS LONDON N8 8,2.00,GBP,Shopping
28/09/2024,2024-09,Monzo Joint September,Trainline.Com London,45.80,GBP,Transportation
28/09/2024,2024-09,Monzo Joint September,LIME*PAYOFF X23Q +448008085223,6.38,GBP,Transportation
28/09/2024,2024-09,Monzo Joint September,GAILS - JERICHO OXFORD,31.80,GBP,Activities
28/09/2024,2024-09,Monzo Joint September,SCRIPTUM LTD GREAT BRITAI,27.00,GBP,Shopping
28/09/2024,2024-09,Monzo Joint September,SP HOYLES OF OXFORD OXFORD,39.95,GBP,Shopping
28/09/2024,2024-09,Monzo Joint September,TURF TAVERN OXFORD,41.90,GBP,Activities
28/09/2024,2024-09,Monzo Joint September,GAILS - JERICHO OXFORD,8.20,GBP,Activities
28/09/2024,2024-09,Monzo Joint September,TfL Travel Charge TFL.gov.uk/CP,3.00,GBP,Transportation
29/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,3.00,GBP,Transportation
29/09/2024,2024-09,Monzo Joint September,PB584014323171591,212.26,GBP,Credit card
29/09/2024,2024-09,Monzo Joint September,LIME*PASS FZY2 +448008085223,36.99,GBP,Transportation
29/09/2024,2024-09,Monzo Joint September,Monthly Money Pot,300.00,GBP,Nothing
29/09/2024,2024-09,Monzo Joint September,Lara Antoniades,300.00,GBP,Pay Lara
29/09/2024,2024-09,Monzo Joint September,LIME*PASS X23Q +448008085223,36.99,GBP,Transportation
30/09/2024,2024-09,Monzo Joint September,300 0110 745176066,41.62,GBP,Subscriptions
30/09/2024,2024-09,Monzo Joint September,9TA94DV,18.45,GBP,Utilities
30/09/2024,2024-09,Monzo Joint September,Monthly Money Pot,109.00,GBP,Nothing
30/09/2024,2024-09,Monzo Joint September,MARKS&SPENCER PLC SF CHANCERY LANE,4.55,GBP,Groceries
01/08/2024,2024-08,Monzo Joint August,Monthly Money Pot,20.00,GBP,Nothing
01/08/2024,2024-08,Monzo Joint August,Monthly Money Pot,10.00,GBP,Nothing
01/08/2024,2024-08,Monzo Joint August,OVO Energy Ltd Bristol,180.66,GBP,Utilities
01/08/2024,2024-08,Monzo Joint August,Monthly Money Pot,102.89,GBP,Nothing
01/08/2024,2024-08,Monzo Joint August,Monthly Money Pot,2000.00,GBP,Nothing
01/08/2024,2024-08,Monzo Joint August,1 Montenotte Rent,2100.00,GBP,Rent
01/08/2024,2024-08,Monzo Joint August,J and R Kiosk London,1.30,GBP,Groceries
02/08/2024,2024-08,Monzo Joint August,J and R Kiosk London,1.30,GBP,Groceries
05/08/2024,2024-08,Monzo Joint August,Monthly Money Pot,100.00,GBP,Nothing
05/08/2024,2024-08,Monzo Joint August,Monthly Money Pot,431.00,GBP,Nothing
05/08/2024,2024-08,Monzo Joint August,PB987905984472476,431.53,GBP,Credit card
05/08/2024,2024-08,Monzo Joint August,VIRGIN MEDIA PYMTS E15 READING,28.83,GBP,Utilities
06/08/2024,2024-08,Monzo Joint August,Aletta Antoniades,25.00,GBP,Pay Aletta
06/08/2024,2024-08,Monzo Joint August,Spotify London,19.99,GBP,Subscriptions
09/08/2024,2024-08,Monzo Joint August,SAINSBURYS- FETTER LAN LONDON,2.85,GBP,Groceries
09/08/2024,2024-08,Monzo Joint August,CHINATOWN BAKERY LONDON WC2H,2.50,GBP,Activities
10/08/2024,2024-08,Monzo Joint August,GAILS - CROUCH END LONDON,19.80,GBP,Activities
10/08/2024,2024-08,Monzo Joint August,GAILS - CROUCH END LONDON,2.95,GBP,Activities
10/08/2024,2024-08,Monzo Joint August,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,3.00,GBP,Transportation
13/08/2024,2024-08,Monzo Joint August,Monthly Money Pot,140.00,GBP,Nothing
13/08/2024,2024-08,Monzo Joint August,Nicholas Antoniades,140.00,GBP,Pay Nicholas
13/08/2024,2024-08,Monzo Joint August,Monthly Money Pot,8.00,GBP,Nothing
13/08/2024,2024-08,Monzo Joint August,Nicholas Antoniades,8.00,GBP,Pay Nicholas
13/08/2024,2024-08,Monzo Joint August,Nicholas Antoniades,150.00,GBP,Pay Nicholas
13/08/2024,2024-08,Monzo Joint August,Monthly Money Pot,150.00,GBP,Nothing
13/08/2024,2024-08,Monzo Joint August,Monthly Money Pot,150.00,GBP,Nothing
13/08/2024,2024-08,Monzo Joint August,Nicholas Antoniades,150.00,GBP,Pay Nicholas
15/08/2024,2024-08,Monzo Joint August,TfL Travel Charge TFL.gov.uk/CP,3.70,GBP,Transportation
17/08/2024,2024-08,Monzo Joint August,Monthly Money Pot,100.00,GBP,Nothing
17/08/2024,2024-08,Monzo Joint August,WAITROSE BA15AL 1 BATH,80.00,GBP,Groceries
17/08/2024,2024-08,Monzo Joint August,APPLE.COM/BILL APPLE.COM/BIL IRL,8.99,GBP,Subscriptions
17/08/2024,2024-08,Monzo Joint August,EE TOPUP VESTA EE.CO.UK,10.00,GBP,Subscriptions
17/08/2024,2024-08,Monzo Joint August,Monthly Money Pot,9.00,GBP,Nothing
17/08/2024,2024-08,Monzo Joint August,EE TOPUP VESTA EE.CO.UK,9.00,GBP,Subscriptions
19/08/2024,2024-08,Monzo Joint August,Lara Antoniades,1.00,GBP,Pay Lara
19/08/2024,2024-08,Monzo Joint August,LA BAGUETTE BATH BA1,1.70,GBP,Activities
23/08/2024,2024-08,Monzo Joint August,PAYROLL,1766.71,GBP,Income
25/08/2024,2024-08,Monzo Joint August,EE TOPUP VESTA EE.CO.UK,10.00,GBP,Subscriptions
25/08/2024,2024-08,Monzo Joint August,Adobe ADOBE.LY/BILL IRL,19.97,GBP,Subscriptions
26/08/2024,2024-08,Monzo Joint August,SAINSBURYS SUPERMARKET CAMDEN,1.80,GBP,Groceries
28/08/2024,2024-08,Monzo Joint August,300 0110 745176066,41.62,GBP,Subscriptions
28/08/2024,2024-08,Monzo Joint August,Lara Antoniades,400.00,GBP,Pay Lara
29/08/2024,2024-08,Monzo Joint August,Payroll Aug 2024,3854.32,GBP,Income
30/08/2024,2024-08,Monzo Joint August,9TA94DV,18.45,GBP,Utilities
30/08/2024,2024-08,Monzo Joint August,TfL Travel Charge TFL.gov.uk/CP,2.70,GBP,Transportation
30/08/2024,2024-08,Monzo Joint August,J and R Kiosk London,1.30,GBP,Groceries
30/08/2024,2024-08,Monzo Joint August,PB261086276924814,3277.14,GBP,Credit card
30/08/2024,2024-08,Monzo Joint August,Nicholas Antoniades,744.00,GBP,Pay Nicholas
31/08/2024,2024-08,Monzo Joint August,PWBT1725104513320,70.69,GBP,Utilities
01/10/2024,2024-10,Monzo Joint October,10006220766,145.00,GBP,Utilities
01/10/2024,2024-10,Monzo Joint October,Spotify London,19.99,GBP,Subscriptions
02/10/2024,2024-10,Monzo Joint October,Monthly Money Pot,70.00,GBP,Nothing
02/10/2024,2024-10,Monzo Joint October,Nicholas Antoniades,70.00,GBP,Pay Nicholas
