Date,Month,FileOrigin,Description,Amount,Category
2024-07-28,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-6.75,Shopping
2024-07-28,2024-07,Monzo Lara Flex July,MGP*Vinted 99920294    London        GBR,-35.05,Shopping
2024-07-28,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-28.80,Shopping
2024-07-28,2024-07,Monzo Joint July,Transfers,-192.00,Transfers
2024-07-28,2024-07,Monzo Joint July,TfL Travel Charge      TFL.gov.uk/CP GBR,-6.70,Transportation
2024-07-28,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.70,Transportation
2024-07-28,2024-07,Monzo Lara Flex July,Flex,197.58,Utilities & Bills
2024-07-28,2024-07,Monzo Joint July,THE COCK INN           RICKMANSWORTH GBR,-16.35,eating_out
2024-07-28,2024-07,Monzo Joint July,THE COCK INN           RICKMANSWORTH GBR,-8.95,eating_out
2024-07-28,2024-07,Amex Joint JulyOctober,3CPAYMENT*PRET A MANGER LONDON,5.59,eating_out
2024-07-29,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-56.10,Shopping
2024-07-29,2024-07,Monzo Lara Flex July,Google,-7.89,Subscriptions
2024-07-29,2024-07,Amex Joint JulyOctober,AIRBNB * HM9CMRJQYE     LONDON,-50.39,Travel
2024-07-29,2024-07,Monzo Joint July,SAINSBURYS- FETTER LAN LONDON        GBR,-2.85,groceries
2024-07-30,2024-07,Monzo Lara Flex July,PPOINT_*CU CONVENIENCE London        GBR,-25.16,Shopping
2024-07-30,2024-07,Amex Joint JulyOctober,PAYMENT RECEIVED - THANK YOU,-326.00,Shopping
2024-07-30,2024-07,Monzo Joint July,Barclays Partner Finance,-41.62,Transfers Category 1
2024-07-30,2024-07,Amex Joint JulyOctober,TRAINLINE trainline     LONDON,102.89,Transportation
2024-07-30,2024-07,Amex Joint JulyOctober,AIRBNB * HMJ3XANJDB     LONDON,481.00,Travel
2024-07-30,2024-07,Monzo Nicholas Flex JulyOctober,Airbnb,325.35,Travel
2024-07-30,2024-07,Monzo Joint July,9TA94DV,-18.45,Utilities & Bills
2024-07-30,2024-07,Monzo Nicholas Flex JulyOctober,Flex,-325.35,Utilities & Bills
2024-07-31,2024-07,Monzo Joint July,Payroll July 2024,3854.32,Income
2024-07-31,2024-07,Monzo Joint July,Savings,-1300.00,Moving Money
2024-07-31,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-14.19,Shopping
2024-07-31,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-12.00,Shopping
2024-07-31,2024-07,Monzo Joint July,AMERICAN EXP 3773,-2404.68,Shopping
2024-07-31,2024-07,Amex Joint JulyOctober,PAYMENT RECEIVED - THANK YOU,-2404.68,Shopping
2024-07-31,2024-07,Monzo Joint July,Transfers,-10.00,Transfers
2024-07-31,2024-07,Monzo Nicholas Flex JulyOctober,Flex,2.20,Utilities & Bills
2024-07-31,2024-07,Amex Joint JulyOctober,Crouch End Greens LTD   London,12.06,eating_out
2024-07-31,2024-07,Amex Joint JulyOctober,M&S CROUCH END SIMPLY F LONDON,26.45,groceries
2024-08-01,2024-08,Monzo Joint August,1 Montenotte Rent,-2100.00,Housing & Rent
2024-08-01,2024-08,Monzo Joint August,Savings,20.00,Moving Money
2024-08-01,2024-08,Monzo Joint August,Savings,10.00,Moving Money
2024-08-01,2024-08,Monzo Joint August,Savings,102.89,Moving Money
2024-08-01,2024-08,Monzo Joint August,Savings,2000.00,Moving Money
2024-08-01,2024-08,Amex Joint JulyOctober,ZETTLE *R DOREY         WELWYN GARDEN,2.50,Shopping
2024-08-01,2024-08,Monzo Lara Flex August,MGP*Vinted             London        GBR,-12.64,Shopping
2024-08-01,2024-08,Monzo Lara Flex August,MGP*Vinted             London        GBR,-83.35,Shopping
2024-08-01,2024-08,Monzo Lara Flex August,MGP*Vinted             London        GBR,-6.65,Shopping
2024-08-01,2024-08,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.40,Transportation
2024-08-01,2024-08,Monzo Joint August,OVO Energy Ltd         Bristol       GBR,-180.66,Utilities & Bills
2024-08-01,2024-08,Monzo Joint August,J and R Kiosk          London        GBR,-1.30,eating_out
2024-08-02,2024-08,Amex Joint JulyOctober,AMZNMKTPLACE*7W3ID08B5  AMAZON.CO.UK,170.66,Shopping
2024-08-02,2024-08,Amex Joint JulyOctober,TRADEINN RETAL SERVICES CELRA,128.25,Shopping
2024-08-02,2024-08,Amex Joint JulyOctober,ZETTLE *MATT SUGARPANTS LONDON,3.00,Shopping
2024-08-02,2024-08,Monzo Lara Flex August,PPOINT_*CU CONVENIENCE London        GBR,-24.98,Shopping
2024-08-02,2024-08,Monzo Lara Flex August,MGP*Vinted             London        GBR,-10.95,Shopping
2024-08-02,2024-08,Amex Joint JulyOctober,AMAZON PRIME*266YX2JG5  AMZN.CO.UK/PM,8.99,Subscriptions
